,Номер машины,Название машины,Тип машины,Коробка передач,Привод,Мощность двигателя (в л.с.),Объём двигателя (в литрах),Тип топлива,Цвет
5820,М418СМ_76,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
5821,Х315АУ_45,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
5822,Н881УУ_05,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,белый
5823,К528КЕ_71,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
5824,А182ОВ_20,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
5825,О431ЕУ_17,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,чёрный
5826,Р739КК_27,BMW X5 M50i IV (G05),внедорожник,автомат,полный,530,4.4,Бензин,чёрный
5827,Е700ОК_34,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
5828,М981ВО_44,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
5829,О294СН_46,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
5830,Р305УВ_03,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
5831,Н629СМ_09,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
5832,Е424ОО_79,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,синий
5833,А859УВ_12,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,пурпурный
5834,М042ТУ_44,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
5835,О107РУ_52,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
5836,Е862СТ_28,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
5837,Р845АА_46,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
5838,М811ТВ_38,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,белый
5839,О370АЕ_32,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
5840,О065СС_01,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
5841,М632ХМ_46,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,пурпурный
5842,У639ЕУ_86,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
5843,Н395ТТ_30,Nissan X-Trail III Рестайлинг,внедорожник,вариатор,передний,144,2.0,Бензин,серый
5844,С928НС_94,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
5845,Р777РХ_05,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
5846,А976ВА_32,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
5847,Е661СМ_47,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
5848,М833СР_47,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
5849,Н635ХК_07,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
5850,О165ММ_97,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
5851,Е662МТ_45,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
5852,М408МО_29,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
5853,Н089ОВ_89,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
5854,В377ВВ_11,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
5855,А613ЕУ_82,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
5856,Р038ОО_81,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,синий
5857,С354ХС_22,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
5858,Х079КА_23,BMW X5 M50i IV (G05),внедорожник,автомат,полный,530,4.4,Бензин,чёрный
5859,М303КА_13,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,пурпурный
5860,М688ОЕ_80,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
5861,О303ТТ_88,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
5862,Х697АМ_32,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
5863,Т218УР_64,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,белый
5864,Е353ОК_69,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
5865,М211НН_93,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
5866,А934СХ_71,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
5867,А292РА_79,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
5868,Х149СХ_69,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
5869,Е473СА_93,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,синий
5870,В584МВ_44,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,синий
5871,О100АК_47,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
5872,Р768МХ_81,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
5873,Х958РН_02,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,синий
5874,Р350ЕН_51,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
5875,Е809СН_99,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
5876,К639СТ_39,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
5877,Н216ЕР_28,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
5878,С133КК_05,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,чёрный
5879,Н529НВ_29,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
5880,А468ЕО_24,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
5881,У295КХ_74,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
5882,Т192ЕО_94,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
5883,Р045НР_58,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
5884,С863ОЕ_81,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
5885,Н068КО_40,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
5886,К791ЕТ_97,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
5887,Х539ОР_15,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
5888,В274НР_46,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
5889,Н956УХ_00,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
5890,К263ВВ_18,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
5891,С618СХ_48,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
5892,Т702РН_36,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,синий
5893,В727МР_14,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
5894,Р294СР_86,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,белый
5895,Н943НУ_85,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
5896,Т400КР_76,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,синий
5897,В480НР_82,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
5898,С364СХ_07,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
5899,А858МЕ_81,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
5900,Н035ТН_35,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,синий
5901,С299КЕ_92,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
5902,Р112ОС_19,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
5903,С128НХ_51,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
5904,М854ОМ_47,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
5905,К852УР_59,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
5906,А958ТА_19,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,серый
5907,С440УМ_02,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,синий
5908,Х584СН_65,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
5909,Е563ХР_62,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
5910,О265ОМ_18,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,серый
5911,Н522ХС_89,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
5912,Р677КХ_89,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
5913,В494АТ_69,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
5914,С053УН_27,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
5915,А427ТА_45,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,пурпурный
5916,Х567УО_91,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
5917,А838СА_91,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
5918,Р104АМ_12,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
5919,А619КУ_03,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
5920,В791УС_50,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
5921,С251МС_02,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
5922,А448РО_96,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
5923,С060МК_47,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
5924,С812ВР_98,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
5925,Х532ТХ_73,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
5926,Т371НВ_06,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
5927,Н891ХТ_57,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
5928,Е683ВР_48,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
5929,Р032ВА_47,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
5930,Н905ОМ_46,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,белый
5931,Х348ЕР_68,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,белый
5932,Х773СА_89,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
5933,А798СЕ_30,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
5934,А989ТЕ_10,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,чёрный
5935,Е089ОО_08,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
5936,У580ОН_49,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
5937,М599ТА_08,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,синий
5938,С648УО_82,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
5939,Т071РУ_60,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
5940,Х400ЕН_08,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
5941,К911СС_95,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
5942,Р021КН_61,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
5943,М247ВХ_57,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,пурпурный
5944,В942ММ_20,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,пурпурный
5945,Т461РО_58,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
5946,С034ЕМ_69,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
5947,О859ВУ_34,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
5948,М038СР_46,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
5949,Р314ХУ_30,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,чёрный
5950,А458АМ_65,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
5951,В750ТТ_21,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
5952,Н682ХН_81,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,пурпурный
5953,М324КХ_57,Nissan X-Trail III Рестайлинг,внедорожник,вариатор,передний,144,2.0,Бензин,серый
5954,С130ЕО_44,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
5955,Т915ТМ_17,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
5956,О997НВ_54,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
5957,У832СЕ_54,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
5958,Н234РЕ_31,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
5959,А128РС_93,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
5960,Р898РО_17,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
5961,Е670ХУ_38,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
5962,В433ОС_84,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
5963,С930ОМ_90,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
5964,Т487ЕО_13,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
5965,Т936ВМ_44,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
5966,К523УР_02,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
5967,С459МР_25,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,синий
5968,М156ХО_99,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
5969,К657МН_54,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,чёрный
5970,Е220МН_62,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
5971,О931НМ_89,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
5972,О314УВ_69,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
5973,С497СА_50,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,пурпурный
5974,М124НУ_03,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
5975,Х159ТУ_31,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
5976,Х247КХ_96,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
5977,Н570ХУ_50,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,чёрный
5978,Х604ХЕ_22,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
5979,Т935РУ_48,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
5980,А848СМ_31,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,серый
5981,Е313СР_00,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,синий
5982,С923ОК_51,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
5983,Н626АС_13,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
5984,Т751ОК_33,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,белый
5985,С440КТ_67,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
5986,Т326РХ_36,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
5987,У348ЕХ_17,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
5988,Н444СР_47,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
5989,А418ХУ_38,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,синий
5990,Х235РТ_78,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
5991,Н097АК_70,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
5992,Р541УМ_27,Nissan X-Trail III Рестайлинг,внедорожник,вариатор,передний,144,2.0,Бензин,серый
5993,С973СА_95,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
5994,М649МУ_49,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
5995,Т778ХЕ_12,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
5996,Р572АС_89,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
5997,С443СМ_77,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
5998,Х220СС_11,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
5999,А572НР_77,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
6000,Е081ВР_02,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
6001,Х411ОХ_83,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
6002,Е862ХХ_06,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6003,Е345ТК_56,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
6004,К815ВЕ_45,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,чёрный
6005,Х668НЕ_48,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6006,В626МН_39,BMW X5 M50i IV (G05),внедорожник,автомат,полный,530,4.4,Бензин,чёрный
6007,Р984ХМ_80,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,белый
6008,А119ОО_63,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
6009,М478ОВ_18,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
6010,К303МК_61,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
6011,В711УО_74,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,синий
6012,О830ТМ_79,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
6013,Н194НМ_20,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6014,М558ОО_67,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6015,К364АР_96,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
6016,Н619АУ_81,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
6017,Т829СС_61,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,синий
6018,Н079ХТ_30,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,белый
6019,М916ЕС_26,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6020,А469ТС_35,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
6021,Т188РВ_15,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,чёрный
6022,Т068ТМ_04,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6023,В532СХ_98,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
6024,М785КА_27,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
6025,Е097НС_96,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
6026,К135УН_21,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,пурпурный
6027,Е720ТС_91,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
6028,Е256ХУ_87,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
6029,Е087ММ_49,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
6030,Т400МВ_05,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6031,Т445КУ_01,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
6032,Х962ОА_12,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
6033,А814РМ_00,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
6034,В288РВ_98,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
6035,С984КТ_58,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
6036,Н883УТ_80,Porsche Macan S I,внедорожник,робот,полный,340,3.0,Бензин,белый
6037,У567РК_42,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
6038,М643РВ_58,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
6039,У065ОХ_87,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6040,О996СЕ_52,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
6041,В921АО_03,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
6042,В554КХ_59,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6043,Х889АХ_16,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,синий
6044,С570СХ_82,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,синий
6045,К693МО_57,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
6046,Е761СК_03,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
6047,Х036КТ_81,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
6048,С773ОА_02,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,белый
6049,У916ХС_59,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6050,К182РР_78,BMW X5 M50i IV (G05),внедорожник,автомат,полный,530,4.4,Бензин,чёрный
6051,С990СС_18,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6052,О168АХ_26,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
6053,М984АО_56,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
6054,Р970ВУ_52,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
6055,Е264РУ_09,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,белый
6056,Т749АЕ_34,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6057,М971КУ_54,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,пурпурный
6058,Т845МН_78,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
6059,В158ВК_70,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6060,Н359ЕР_29,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,серый
6061,У009ОУ_74,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
6062,Е674ОХ_96,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
6063,О813АЕ_94,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,белый
6064,М505СМ_88,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
6065,Н676ОЕ_29,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
6066,Е419СО_26,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
6067,С432КА_95,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6068,О107МТ_69,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
6069,О549ОО_00,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
6070,Е034НО_72,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
6071,Р432РС_96,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6072,Р697КС_41,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
6073,Р923НХ_44,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
6074,Х156НС_66,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
6075,С363ЕЕ_86,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,синий
6076,М961РЕ_86,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
6077,Е997ТЕ_67,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6078,У590СТ_04,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
6079,В973НЕ_01,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,белый
6080,У556КО_67,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6081,О013РТ_73,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
6082,У437МР_24,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,синий
6083,Т498АК_88,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
6084,О614НК_50,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
6085,Е867УС_39,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
6086,Н652ХС_00,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,чёрный
6087,Т151ОХ_81,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
