car_id,car_number,car_model,car_type,transmission,drive_unit,engine_capacity,engine_volume,fuel_type,car_color,price
4199,С269ХО_60,Hyundai H-1 II Рестайлинг,минивэн,механика,задний,116,2.5,дизель,чёрный,13498000
4200,К758УУ_53,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,бензин,чёрный,1059000
4201,М523АТ_13,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,1359000
4202,М692ЕН_63,Москвич 400 400-420,седан,механика,задний,23,1.1,бензин,синий,1019000
4203,В066МР_56,Mercedes-Benz GLS AMG 63 AMG I (X166),внедорожник,автомат,полный,585,5.5,бензин,белый,1147000
4204,У995ТТ_31,Volvo XC90 I,внедорожник,автомат,полный,210,2.5,бензин,чёрный,635000
4205,Х182АО_77,Jeep Grand Cherokee IV (WK2) Рестайлинг,внедорожник,автомат,полный,243,3.0,дизель,синий,4000000
4206,М989НМ_69,Nissan X-Trail III Рестайлинг,внедорожник,механика,передний,144,2.0,бензин,белый,1628000
4207,У499УТ_83,Nissan Teana II Рестайлинг,седан,вариатор,полный,167,2.5,бензин,чёрный,1994000
4208,А641ТО_84,Москвич 400 400-420,седан,механика,задний,23,1.1,бензин,синий,870000
4209,Р962СХ_28,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,чёрный,3000000
4210,В672АУ_63,Nissan Juke I,внедорожник,вариатор,передний,117,1.6,бензин,белый,1060000
4211,В472КУ_41,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,чёрный,1360000
4212,А091АЕ_77,Mercedes-Benz E-Класс 300 I (W124),седан,автомат,задний,147,3.0,дизель,серый,847000
4213,Т019ЕН_88,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,дизель,чёрный,974000
4214,Х407МН_52,Volkswagen Passat CC I Рестайлинг,седан,робот,передний,210,2.0,бензин,чёрный,1274000
4215,Х926УН_95,Honda Accord Type-S Type S VIII,седан,автомат,передний,201,2.4,бензин,синий,1200000
4216,В678НК_52,Mercedes-Benz CLK-Класс 230 I (W208),купе,автомат,задний,193,2.3,бензин,пурпурный,12498000
4217,Е273ЕТ_82,LADA (ВАЗ) 2121 (4x4) I Рестайлинг,внедорожник,механика,полный,83,1.7,бензин,белый,1200000
4218,М723ММ_59,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,пурпурный,685000
4219,А049МВ_07,Ford Focus II,седан,механика,передний,145,2.0,бензин,синий,300000
4220,С720АВ_37,Hyundai Solaris I,седан,механика,передний,123,1.6,бензин,чёрный,345000
4221,М711ОС_61,BMW X6 M50i III (G06),внедорожник,автомат,полный,530,4.4,бензин,серый,1085000
4222,Е717ЕН_39,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,пурпурный,1385000
4223,С565ХХ_67,Volkswagen Jetta V,седан,автомат,передний,102,1.6,бензин,серый,299000
4224,О262НТ_11,Nissan Murano I (Z50),внедорожник,вариатор,полный,234,3.5,бензин,пурпурный,579000
4225,К581АА_63,Hyundai Creta II,внедорожник,механика,передний,123,1.6,бензин,белый,1430324
4226,С473НС_73,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,бензин,чёрный,1730324
4227,К039РК_52,Hyundai H-1 II Рестайлинг,минивэн,механика,задний,116,2.5,дизель,чёрный,373800
4228,Т683УУ_11,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,серый,474000
4229,М213МУ_86,Subaru Forester III,внедорожник,автомат,полный,173,2.5,бензин,белый,1479500
4230,С849ТК_38,Mitsubishi Lancer IX Рестайлинг,седан,автомат,передний,98,1.6,бензин,пурпурный,1470000
4231,О649ХР_26,Mercedes-Benz G-Класс AMG 65 AMG I (W463) Рестайлинг 2,внедорожник,автомат,полный,612,6.0,бензин,чёрный,1499000
4232,Т826СС_27,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,синий,1111250
4233,А748УР_65,Kia Optima IV,седан,автомат,передний,188,2.4,бензин,белый,1411250
4234,Е486МТ_02,Suzuki Grand Vitara III,внедорожник,механика,полный,140,2.0,бензин,синий,1060000
4235,Е814УТ_34,Peugeot 207 I,хэтчбек,автомат,передний,120,1.6,бензин,синий,280000
4236,Т111УХ_73,LADA (ВАЗ) 2115,седан,механика,передний,81,1.6,бензин,чёрный,6790000
4237,Н017МР_72,Mercedes-Benz S-Класс 500 V (W221) Рестайлинг,седан,автомат,полный,435,4.7,бензин,серый,1135000
4238,Е269АВ_64,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,1435000
4239,Х139РВ_70,Hyundai Getz I,хэтчбек,автомат,передний,82,1.3,бензин,серый,1375000
4240,М061ЕЕ_61,Audi A4 I (B5),универсал,механика,передний,150,1.8,бензин,чёрный,649000
4241,В281ТР_26,Volvo XC90 I,внедорожник,автомат,полный,210,2.5,бензин,белый,635000
4242,В937МА_31,Jeep Grand Cherokee IV (WK2) Рестайлинг,внедорожник,автомат,полный,243,3.0,дизель,пурпурный,4000000
4243,Р057УР_37,Nissan X-Trail III Рестайлинг,внедорожник,механика,передний,144,2.0,бензин,пурпурный,1628000
4244,Т776УН_68,Nissan Teana II Рестайлинг,седан,вариатор,полный,167,2.5,бензин,чёрный,1994000
4245,Е423МС_96,Mitsubishi Lancer IX Рестайлинг,седан,автомат,передний,98,1.6,бензин,пурпурный,870000
4246,С954ВА_88,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,чёрный,280000
4247,А313МВ_62,Volkswagen Polo V Рестайлинг,седан,механика,передний,90,1.6,бензин,белый,1060000
4248,Н284АХ_28,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,серый,1360000
4249,Т629ЕА_57,SsangYong Kyron I Рестайлинг,внедорожник,механика,полный,150,2.3,бензин,пурпурный,535000
4250,Т636ЕА_98,Mercedes-Benz 190 (W201),седан,механика,задний,105,2.0,бензин,белый,974000
4251,Р492ВМ_36,Ford Focus II,седан,механика,передний,145,2.0,бензин,синий,1274000
4252,М860КО_77,Москвич 400 400-420,седан,механика,задний,23,1.1,бензин,синий,365000
4253,М824АА_75,Subaru Impreza WRX II,универсал,механика,полный,225,2.0,бензин,синий,88000
4254,Р611ЕА_35,Volkswagen Passat CC I Рестайлинг,седан,робот,передний,210,2.0,бензин,чёрный,299000
4255,Е358СЕ_44,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,3000000
4256,Е376ТР_05,Rolls-Royce Wraith,купе,автомат,задний,632,6.6,бензин,серый,520000
4257,А844СМ_63,Rolls-Royce Phantom VII Рестайлинг (Series II),купе,автомат,задний,460,6.8,бензин,чёрный,1200000
4258,Н279СС_94,Mercedes-Benz CLK-Класс 230 I (W208),купе,автомат,задний,193,2.3,бензин,синий,1085000
4259,С784ХА_86,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,серый,1385000
4260,Н771ХТ_81,LADA (ВАЗ) 2115,седан,механика,передний,81,1.6,бензин,чёрный,19000000
4261,Н411ВС_58,Mercedes-Benz GL-Класс 500 II (X166),внедорожник,автомат,полный,435,4.7,бензин,белый,300000
4262,А748РС_37,Hyundai Creta II,внедорожник,механика,передний,123,1.6,бензин,пурпурный,1430324
4263,В616ММ_79,Volkswagen Passat B7,седан,робот,передний,152,1.8,бензин,чёрный,1730324
4264,А173ММ_83,Nissan Juke I,внедорожник,вариатор,передний,117,1.6,бензин,белый,150000
4265,Р112ЕЕ_23,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,чёрный,2533000
4266,Т118ВА_57,Volkswagen Passat CC I Рестайлинг,седан,робот,передний,152,1.8,бензин,белый,1479500
4267,С408УА_67,Volkswagen Jetta V,седан,автомат,передний,102,1.6,бензин,серый,878000
4268,Х251ЕО_23,Mercedes-Benz S-Класс 500 V (W221) Рестайлинг,седан,автомат,полный,435,4.7,бензин,серый,847000
4269,У975УЕ_12,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,синий,1111250
4270,С339ВО_37,Toyota Camry VI (XV40),седан,автомат,передний,167,2.4,бензин,пурпурный,1411250
4271,Н893ХВ_78,Hyundai H-1 II Рестайлинг,минивэн,механика,задний,116,2.5,дизель,чёрный,887900
4272,С667АР_15,Chevrolet Cruze I Рестайлинг,хэтчбек,автомат,передний,109,1.6,бензин,белый,373800
4273,О552НТ_87,Hyundai ix35 I,внедорожник,автомат,передний,150,2.0,бензин,чёрный,1535000
4274,Н478ВХ_52,Peugeot 207 I,хэтчбек,автомат,передний,120,1.6,бензин,синий,1135000
4275,Н384ТТ_18,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,пурпурный,1435000
4276,М120ЕН_64,Audi A4 I (B5),универсал,механика,передний,150,1.8,бензин,чёрный,847000
4277,Е367ТВ_98,SsangYong Rexton I,внедорожник,автомат,полный,163,2.7,дизель,серый,1499000
4278,Е426НС_41,Volvo XC90 I,внедорожник,автомат,полный,210,2.5,бензин,синий,635000
4279,А633ОУ_14,Jeep Grand Cherokee IV (WK2) Рестайлинг,внедорожник,автомат,полный,243,3.0,дизель,синий,4000000
4280,У043ХА_62,Nissan X-Trail III Рестайлинг,внедорожник,механика,передний,144,2.0,бензин,белый,1628000
4281,Т872РА_15,Subaru Impreza WRX II,универсал,механика,полный,225,2.0,бензин,синий,1994000
4282,Х072РН_10,Ford Focus II,седан,механика,передний,145,2.0,бензин,синий,520000
4283,Р033НВ_26,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,синий,299000
4284,М508АЕ_51,Nissan Juke I,внедорожник,вариатор,передний,117,1.6,бензин,белый,1060000
4285,Х897РА_26,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,белый,1360000
4286,М844НА_52,BMW X6 M50i III (G06),внедорожник,автомат,полный,530,4.4,бензин,серый,847000
4287,Н649СМ_88,SsangYong Kyron I Рестайлинг,внедорожник,механика,полный,150,2.3,бензин,пурпурный,974000
4288,М676УЕ_56,Honda Accord Type-S Type S VIII,седан,автомат,передний,201,2.4,бензин,синий,1274000
4289,К064АУ_68,Rolls-Royce Wraith,купе,автомат,задний,632,6.6,бензин,серый,365000
4290,А171АА_62,Volvo S80 II Рестайлинг 2,седан,автомат,передний,245,2.0,бензин,чёрный,685000
4291,Т852НХ_45,LADA (ВАЗ) 2121 (4x4) Рысь I Рестайлинг,внедорожник,механика,полный,83,1.7,бензин,синий,19000000
4292,Р078ОК_41,BMW 5 серии Gran Turismo 535d xDrive VI (F10/F11/F07),лифтбек,автомат,полный,300,3.0,дизель,чёрный,1870000
4293,Х606УУ_37,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,пурпурный,519000
4294,Н659ВА_74,Volkswagen Passat CC I Рестайлинг,седан,робот,передний,210,2.0,бензин,чёрный,1475000
4295,В709НУ_86,Nissan Murano I (Z50),внедорожник,вариатор,полный,234,3.5,бензин,пурпурный,1085000
4296,У469ТВ_51,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,1385000
4297,К102РР_69,Kia Optima IV,седан,автомат,передний,188,2.4,бензин,белый,1200000
4298,Х461ОХ_68,Mercedes-Benz 190 (W201),седан,механика,задний,105,2.0,бензин,серый,474000
4299,К971НК_45,Hyundai Creta II,внедорожник,механика,передний,123,1.6,бензин,чёрный,1430324
4300,М006РС_68,Hyundai Solaris I,седан,механика,передний,123,1.6,бензин,чёрный,1730324
4301,Н996СЕ_26,Hyundai ix35 I,внедорожник,автомат,передний,150,2.0,бензин,чёрный,1375000
4302,В082УМ_17,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,пурпурный,88000
4303,О297ЕХ_36,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,238,3.2,бензин,чёрный,1479500
4304,Р065СО_73,BMW X7 30d I (G07),внедорожник,автомат,полный,249,3.0,дизель,чёрный,579000
4305,Н745КС_63,ЗАЗ 965,седан,механика,задний,27,0.9,бензин,чёрный,870000
4306,А115ХН_41,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,чёрный,1135000
4307,Р032ВА_22,Mercedes-Benz GL-Класс 500 II (X166),внедорожник,автомат,полный,435,4.7,бензин,белый,1435000
4308,Т528ОУ_07,Mercedes-Benz GLS AMG 63 AMG I (X166),внедорожник,автомат,полный,585,5.5,бензин,белый,920000
4309,Т499НА_47,Audi A8 Long III (D4),седан,автомат,полный,372,4.2,бензин,чёрный,7200000
4310,М437АН_99,Volkswagen Passat B7,седан,робот,передний,152,1.8,бензин,чёрный,70000
4311,Р720УЕ_71,Mercedes-Benz G-Класс AMG 65 AMG I (W463) Рестайлинг 2,внедорожник,автомат,полный,612,6.0,бензин,чёрный,1059000
4312,М655РХ_57,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,1359000
4313,Н344СМ_14,Chevrolet Cruze I Рестайлинг,хэтчбек,автомат,передний,109,1.6,бензин,белый,2533000
4314,Х394КУ_63,Volkswagen Passat CC I Рестайлинг,седан,робот,передний,152,1.8,бензин,белый,6599000
4315,Е607УЕ_34,Volvo XC90 I,внедорожник,автомат,полный,210,2.5,бензин,серый,635000
4316,Е173ВР_36,Jeep Grand Cherokee IV (WK2) Рестайлинг,внедорожник,автомат,полный,243,3.0,дизель,пурпурный,4000000
4317,С737РХ_14,Nissan X-Trail III Рестайлинг,внедорожник,механика,передний,144,2.0,бензин,синий,1628000
4318,М249УЕ_78,Москвич 400 400-420,седан,механика,задний,23,1.1,бензин,синий,1994000
4319,Е913ВС_63,Ford Focus II,седан,механика,передний,145,2.0,бензин,синий,3000000
4320,К486ОХ_92,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,синий,299000
4321,О764ЕЕ_05,Nissan Teana II Рестайлинг,седан,вариатор,полный,167,2.5,бензин,чёрный,1060000
4322,О419ХХ_77,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,белый,1360000
4323,В476ХО_06,ЗАЗ 965,седан,механика,задний,27,0.9,бензин,пурпурный,870000
4324,А743НХ_86,Mitsubishi Lancer IX Рестайлинг,седан,автомат,передний,98,1.6,бензин,пурпурный,974000
4325,Х623РО_01,Subaru Impreza WRX II,универсал,механика,полный,225,2.0,бензин,синий,1274000
4326,Р800КМ_31,Mercedes-Benz 190 (W201),седан,механика,задний,105,2.0,бензин,серый,70000
4327,С085ЕМ_44,SsangYong Kyron I Рестайлинг,внедорожник,механика,полный,150,2.3,бензин,пурпурный,280000
4328,Х028НМ_30,Audi Q5 II (FY),внедорожник,робот,полный,249,2.0,бензин,синий,520000
4329,Х131ЕУ_54,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,пурпурный,88000
4330,К507РА_24,Rolls-Royce Phantom VII Рестайлинг (Series II),купе,автомат,задний,460,6.8,бензин,чёрный,365000
4331,Х300МУ_50,Hyundai Solaris I,седан,механика,передний,123,1.6,бензин,чёрный,3109000
4332,Х667УН_38,Nissan Murano I (Z50),внедорожник,вариатор,полный,234,3.5,бензин,белый,1085000
4333,Т456КС_91,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,серый,1385000
4334,Н213АЕ_54,LADA (ВАЗ) 2121 (4x4) Рысь I Рестайлинг,внедорожник,механика,полный,83,1.7,бензин,синий,579000
4335,У437ТЕ_05,Hyundai Getz I,хэтчбек,автомат,передний,82,1.3,бензин,белый,474000
4336,О602ОХ_94,Hyundai Creta II,внедорожник,механика,передний,123,1.6,бензин,чёрный,1430324
4337,К642ХН_49,Rolls-Royce Wraith,купе,автомат,задний,632,6.6,бензин,серый,1730324
4338,М003МА_06,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,238,3.2,бензин,чёрный,519000
4339,У248МР_53,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,белый,250000
4340,У784СР_95,Subaru Forester III,внедорожник,автомат,полный,173,2.5,бензин,белый,1479500
4341,Р725УН_35,Hyundai Elantra ТагАЗ III (XD2) Рестайлинг,седан,механика,передний,105,1.6,бензин,чёрный,19000000
4342,Е743МВ_49,Volkswagen Polo V,хэтчбек,робот,передний,85,1.4,бензин,пурпурный,920000
4343,Р583АО_71,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,синий,1111250
4344,У172ВВ_15,Mercedes-Benz G-Класс AMG 65 AMG I (W463) Рестайлинг 2,внедорожник,автомат,полный,612,6.0,бензин,чёрный,1411250
4345,С722ОО_58,Kia Optima IV,седан,автомат,передний,188,2.4,бензин,белый,1060000
4346,Е212КВ_58,Suzuki Grand Vitara III,внедорожник,механика,полный,140,2.0,бензин,синий,335000
4347,Т168АА_50,Volkswagen Jetta V,седан,автомат,передний,102,1.6,бензин,серый,910000
4348,В805АЕ_54,Peugeot 207 I,хэтчбек,автомат,передний,120,1.6,бензин,синий,1135000
4349,Х330ЕС_57,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,серый,1435000
4350,Х617РЕ_71,Volkswagen Golf GTI VII Рестайлинг,хэтчбек,робот,передний,245,2.0,бензин,серый,6790000
4351,В954ВХ_14,Volkswagen Jetta VI,седан,механика,передний,105,1.6,бензин,синий,1375000
4352,Х721ОУ_48,Volvo XC90 I,внедорожник,автомат,полный,210,2.5,бензин,чёрный,635000
4353,Х100КК_01,Jeep Grand Cherokee IV (WK2) Рестайлинг,внедорожник,автомат,полный,243,3.0,дизель,синий,4000000
4354,У281ЕУ_73,Nissan X-Trail III Рестайлинг,внедорожник,механика,передний,144,2.0,бензин,синий,1628000
4355,Н059СХ_09,Nissan Teana II Рестайлинг,седан,вариатор,полный,167,2.5,бензин,чёрный,1994000
4356,О077ХК_84,Ford Focus II,седан,механика,передний,145,2.0,бензин,синий,870000
4357,О784КМ_07,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,белый,299000
4358,У666СР_81,Audi A4 IV (B8),седан,вариатор,передний,160,1.8,бензин,белый,1060000
4359,А632ЕН_82,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,чёрный,1360000
4360,М230СЕ_15,BMW 5 серии Gran Turismo 535d xDrive VI (F10/F11/F07),лифтбек,автомат,полный,300,3.0,дизель,чёрный,790000
4361,Н934ОР_65,Subaru Forester III,внедорожник,автомат,полный,173,2.5,бензин,белый,974000
4362,Н707ТО_80,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,238,3.2,бензин,чёрный,1274000
4363,К309ВС_32,Hyundai ix35 I,внедорожник,автомат,передний,150,2.0,бензин,чёрный,1475000
4364,Р010РВ_26,Volkswagen Passat CC I Рестайлинг,седан,робот,передний,210,2.0,бензин,чёрный,1060000
4365,К410МЕ_48,Volkswagen Passat B7,седан,робот,передний,152,1.8,бензин,чёрный,920000
4366,Е834РХ_83,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,пурпурный,870000
4367,Н978НО_80,Volkswagen Passat CC I Рестайлинг,седан,робот,передний,152,1.8,бензин,белый,1200000
4368,У189ХС_57,SsangYong Kyron I Рестайлинг,внедорожник,механика,полный,150,2.3,бензин,пурпурный,878000
4369,Н300ХР_94,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,1085000
4370,К790КН_41,Mercedes-Benz GL-Класс 500 II (X166),внедорожник,автомат,полный,435,4.7,бензин,белый,1385000
4371,А977УК_74,Subaru Impreza WRX II,универсал,механика,полный,225,2.0,бензин,синий,887900
4372,Н433ХО_75,Hyundai Creta II,внедорожник,механика,передний,123,1.6,бензин,серый,365000
4373,М421ВХ_07,Mitsubishi Lancer IX Рестайлинг,седан,автомат,передний,98,1.6,бензин,пурпурный,1430324
4374,Х154РК_28,Honda Accord Type-S Type S VIII,седан,автомат,передний,201,2.4,бензин,синий,1730324
4375,М141УВ_93,BMW X6 M50i III (G06),внедорожник,автомат,полный,530,4.4,бензин,серый,2533000
4376,М927ХХ_66,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,серый,520000
4377,Н069КН_03,Kia Optima IV,седан,автомат,передний,188,2.4,бензин,белый,1479500
4378,Н644ХО_50,Volvo S80 II Рестайлинг 2,седан,автомат,передний,245,2.0,бензин,чёрный,280000
4379,А551ЕР_41,Volkswagen Polo V Рестайлинг,седан,механика,передний,90,1.6,бензин,чёрный,685000
4380,С636ОМ_82,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,пурпурный,1135000
4381,С767УМ_64,ЗАЗ 965,седан,механика,задний,27,0.9,бензин,серый,1435000
4382,С435АМ_17,Dodge Challenger SRT Hellcat III Рестайлинг 2,купе,автомат,задний,717,6.2,бензин,чёрный,1375000
4383,Т289ЕУ_38,BMW 1 серии 118i II (F20/F21),хэтчбек,автомат,задний,170,1.6,бензин,серый,1870000
4384,У816ЕН_24,Nissan Murano I (Z50),внедорожник,вариатор,полный,234,3.5,бензин,синий,535000
4385,О681ТН_02,Rolls-Royce Wraith,купе,автомат,задний,632,6.6,бензин,серый,1059000
4386,Т348ВС_36,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,пурпурный,1359000
4387,О327РЕ_05,Mercedes-Benz G-Класс AMG 65 AMG I (W463) Рестайлинг 2,внедорожник,автомат,полный,612,6.0,бензин,чёрный,70000
4388,Н996СК_92,Chevrolet Cruze I Рестайлинг,хэтчбек,автомат,передний,109,1.6,бензин,белый,6270000
4389,К034СК_47,Volvo XC90 I,внедорожник,автомат,полный,210,2.5,бензин,пурпурный,635000
4390,М772РМ_60,Jeep Grand Cherokee IV (WK2) Рестайлинг,внедорожник,автомат,полный,243,3.0,дизель,чёрный,4000000
4391,Н150ТС_15,Nissan X-Trail III Рестайлинг,внедорожник,механика,передний,144,2.0,бензин,чёрный,1628000
4392,К234ХМ_25,Ford Focus II,седан,механика,передний,145,2.0,бензин,синий,1994000
4393,В804КН_31,ЗАЗ 965,седан,механика,задний,27,0.9,бензин,серый,299000
4394,К133ХН_23,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,серый,70000
4395,У202СХ_91,Nissan Teana II Рестайлинг,седан,вариатор,полный,167,2.5,бензин,чёрный,1060000
4396,А223РР_97,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,1360000
4397,С206НК_73,Nissan Murano I (Z50),внедорожник,вариатор,полный,234,3.5,бензин,чёрный,870000
4398,Т434ОМ_14,Mercedes-Benz 190 (W201),седан,механика,задний,105,2.0,бензин,пурпурный,974000
4399,С964РХ_47,SsangYong Kyron I Рестайлинг,внедорожник,механика,полный,150,2.3,бензин,пурпурный,1274000
4400,С470ВУ_78,Volkswagen Jetta V,седан,автомат,передний,102,1.6,бензин,серый,474000
4401,Е654АХ_43,Mitsubishi Lancer IX Рестайлинг,седан,автомат,передний,98,1.6,бензин,пурпурный,88000
4402,К852НХ_93,Subaru Impreza WRX II,универсал,механика,полный,225,2.0,бензин,синий,365000
4403,А801ВЕ_66,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,белый,373800
4404,О441УМ_77,Mercedes-Benz G-Класс AMG 65 AMG I (W463) Рестайлинг 2,внедорожник,автомат,полный,612,6.0,бензин,чёрный,280000
4405,Х959ЕО_79,LADA (ВАЗ) 2121 (4x4) I Рестайлинг,внедорожник,механика,полный,83,1.7,бензин,белый,520000
4406,Т413НР_95,Rolls-Royce Phantom VII Рестайлинг (Series II),купе,автомат,задний,460,6.8,бензин,чёрный,1085000
4407,А493ХХ_43,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,серый,1385000
4408,А490ОХ_55,Mercedes-Benz GLS AMG 63 AMG I (X166),внедорожник,автомат,полный,585,5.5,бензин,белый,6790000
4409,М819СТ_60,Ford Focus II Рестайлинг,хэтчбек,механика,передний,125,1.8,бензин,белый,345000
4410,Т632ХР_68,Hyundai Creta II,внедорожник,механика,передний,123,1.6,бензин,чёрный,1430324
4411,Х425РА_08,Honda Accord Type-S Type S VIII,седан,автомат,передний,201,2.4,бензин,синий,1730324
4412,С852ОХ_26,Peugeot 207 I,хэтчбек,автомат,передний,120,1.6,бензин,синий,6599000
4413,Р158ВМ_91,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,белый,399000
4414,Х764СТ_27,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,238,3.2,бензин,чёрный,1479500
4415,А970КУ_76,Rolls-Royce Wraith,купе,автомат,задний,632,6.6,бензин,серый,685000
4416,У137РВ_85,Nissan Juke I,внедорожник,вариатор,передний,117,1.6,бензин,белый,272000
4417,С797СА_29,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,синий,1111250
4418,М358КК_33,Skoda Octavia II (A5) Рестайлинг,лифтбек,механика,передний,102,1.6,бензин,серый,1411250
4419,А247ЕК_64,Hyundai Solaris I,седан,механика,передний,123,1.6,бензин,чёрный,920000
4420,У120ХМ_87,Mercedes-Benz CLK-Класс 230 I (W208),купе,автомат,задний,193,2.3,бензин,серый,19000000
4421,М635КА_35,Suzuki Grand Vitara III,внедорожник,механика,полный,140,2.0,бензин,белый,847000
4422,В128ТВ_58,Nissan X-Trail I Рестайлинг,внедорожник,автомат,полный,165,2.5,бензин,чёрный,1135000
4423,С325СО_30,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,пурпурный,1435000
4424,Х198ТА_32,Audi A4 I (B5),универсал,механика,передний,150,1.8,бензин,чёрный,699000
4425,А252ХС_39,LADA (ВАЗ) Vesta SW Cross I,универсал,механика,передний,122,1.8,бензин,серый,579000
4426,Х025УВ_05,Volvo XC90 I,внедорожник,автомат,полный,210,2.5,бензин,синий,635000
4427,С757ХМ_43,Jeep Grand Cherokee IV (WK2) Рестайлинг,внедорожник,автомат,полный,243,3.0,дизель,белый,4000000
4428,К852ОС_07,Nissan X-Trail III Рестайлинг,внедорожник,механика,передний,144,2.0,бензин,чёрный,1628000
4429,О357УУ_79,Nissan Teana II Рестайлинг,седан,вариатор,полный,167,2.5,бензин,чёрный,1994000
4430,В814СХ_83,Volkswagen Jetta V,седан,автомат,передний,102,1.6,бензин,серый,870000
4431,С843ВР_99,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,пурпурный,373800
4432,А120ХО_60,ЗАЗ 965,седан,механика,задний,27,0.9,бензин,чёрный,1060000
4433,Е354СУ_62,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,чёрный,1360000
4434,К471ТМ_28,Nissan Murano I (Z50),внедорожник,вариатор,полный,234,3.5,бензин,серый,70000
4435,А218МР_31,Ford Focus II,седан,механика,передний,145,2.0,бензин,синий,974000
4436,А644ЕЕ_18,Subaru Forester III,внедорожник,автомат,полный,173,2.5,бензин,белый,1274000
4437,Р279УР_15,Mercedes-Benz 190 (W201),седан,механика,задний,105,2.0,бензин,синий,474000
4438,А459УЕ_84,Toyota Camry VI (XV40),седан,автомат,передний,167,2.4,бензин,белый,299000
4439,В542ЕВ_71,Volkswagen Polo V Рестайлинг,седан,механика,передний,90,1.6,бензин,белый,1060000
4440,Х261КН_44,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,88000
4441,В776СВ_05,Nissan X-Trail I Рестайлинг,внедорожник,автомат,полный,165,2.5,бензин,чёрный,847000
4442,А038НР_43,BMW X6 M50i III (G06),внедорожник,автомат,полный,530,4.4,бензин,серый,535000
4443,Н451ВУ_46,Subaru Impreza WRX II,универсал,механика,полный,225,2.0,бензин,синий,1085000
4444,Н492СН_34,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,белый,1385000
4445,А360ВХ_17,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,дизель,чёрный,695000
4446,С612ЕЕ_18,Volkswagen Passat CC I Рестайлинг,седан,робот,передний,210,2.0,бензин,чёрный,520000
4447,Е300ВС_39,Hyundai Creta II,внедорожник,механика,передний,123,1.6,бензин,серый,1430324
